Start Time,End Time,Text
0.0,16.44,"So today, we're going to wrap up talking about functions by talking about these things"
16.44,20.84,called lambda functions as a way for us to create anonymous functions.
20.84,27.72,And that will pretty much finish our exploration into creating functions.
27.72,33.56,"And the last part of the lecture, we're going to introduce new object types, tuples and lists."
33.56,38.28,So let's remember what we did last time.
38.28,39.8,We ended with this example.
39.8,42.04,We created a function.
42.04,45.56,"You guys wrote it for me, and then we kind of wrote it and debugged it together."
45.56,48.32,But we created this function called apply.
48.32,55.32,"So what was interesting about this function is that one of its parameters was a function,"
55.32,57.32,and the other one was an integer.
57.32,62.84,"And that seemed a little strange at first, but not when we realized that functions in Python"
62.84,65.08,are actually just objects.
65.08,70.0,"And so they have a name, which means that anywhere where we use other kinds of objects,"
70.0,73.64,"like integers, floats, we can use them as parameters to functions."
73.64,79.12,We can use other functions as parameters to functions as well.
79.12,85.4,"So here criteria, we had just used it as a variable name, assuming that the type of criteria"
85.4,92.12,"as a function, according to this documentation, we assume that it takes in a number and returns"
92.12,93.12,a Boolean.
93.12,97.12,"So we just wrote the body of the function, assuming that that is true."
97.12,102.32000000000001,So right here is where we used this function named criteria.
102.32000000000001,104.36000000000001,We assumed that it takes in an integer.
104.36000000000001,109.44,"So we passed in the loop variable i as an integer, and we assumed it returns a Boolean."
109.44,114.96000000000001,"So we were able to use the return of criteria, parentheses i, just as a Boolean inside my,"
114.96000000000001,117.28,as my condition for this if statement.
117.28,121.56,So hopefully you got a chance to look through this example from last lecture.
121.56,125.64000000000001,So that's the definition of this function that takes in another function as a parameter.
125.64000000000001,129.16,And then the way we use the function is down here.
129.16,132.48000000000002,So apply is us making our function call.
132.48000000000002,137.24,"And then the first parameter is the name of a function, and the second parameter is an integer."
137.24,144.28,So the name of the function we're running is this object that we defined over here.
144.28,147.08,Hopefully this is just review.
147.08,153.52,"Now what's interesting about this example is that this is even function is pretty simple,"
153.52,154.52,right?
154.52,156.12,It's basically a one-liner.
156.12,159.72,It doesn't do any computations inside the function body.
159.72,166.96,"It basically just takes in a value, an input, and returns something."
166.96,173.12,"And so we didn't really need to create a function, a full-fledged function definition just"
173.20000000000002,175.6,to do this really simple task.
175.6,178.16,"And in fact, that's what a Lambda function is."
178.16,182.96,"It's basically a way for us to create an anonymous function, a function that does something"
182.96,187.88,"really simple, but we just don't give it a name."
187.88,193.8,And so here is the function that we created with an actual definition up here.
193.8,197.96,We can create an equivalent anonymous function that looks like this.
197.96,202.88,So this is a much more concise way for us to create a really simple function that we
202.88,205.32,only need to use one time.
205.32,211.84,"So here is, I'm going to just map out one by one the important pieces of the Lambda function."
211.84,218.28,So the Lambda keyword starts out the anonymous function and it tells Python that we're creating
218.28,220.07999999999998,this anonymous function.
220.07999999999998,222.0,So Lambda is not the name of the function.
222.0,227.56,It just tells Python we're going to create this function in one line that is nameless.
227.56,231.2,X is going to be any parameters that we expect this function to take.
231.20000000000002,236.24,"So if we have more than one we just separate them with commas, colon is again the same."
236.24,241.88000000000002,"And then the body of the function, if you can write it in one liner that's not too complicated,"
241.88000000000002,243.56,you can make a Lambda function out of it.
243.56,248.92000000000002,So here notice we don't actually have a return keyword when we're creating the Lambda function.
248.92000000000002,254.60000000000002,We're just doing the operation that we wish to return the value from.
254.60000000000002,260.36,So that's percent two equal to zero is basically the body of my Lambda function over here.
260.36,264.48,So the key thing about Lambda functions is that it allows you to create a really quick
264.48,268.0,function object that you basically want to use only one time.
268.0,270.48,And so we're not giving it a name.
270.48,272.32,So let's look at the code.
272.32,276.24,So here is my apply function that we've seen before.
276.24,281.28000000000003,"Here is us, I showed you this last time I created another definition for another simple"
281.28000000000003,284.36,function that takes in an integer and returns a Boolean.
284.36,289.56,In this case this function just tells me whether that input is equal to five.
289.56,295.84,And this is kind of where we left off last time we ran apply with this is five function.
295.84,299.16,So that prints apply with is five is one.
299.16,307.04,There's only one integer between zero and ten where applying this returns true.
307.04,311.32,Now with an anonymous function just to show you how we would write a Lambda function for this
311.32,314.08,"is underscore five, it would look like this."
314.08,316.8,So again we tell Python we're creating an anonymous function.
316.8,322.52000000000004,"It has just the one input x, colon, no return, and just the body of the function is going"
322.52000000000004,327.64,to be the thing that we would like to return x equal five.
327.64,331.32,So again this notice we're not actually passing in the name.
331.32,336.0,"There is no name for this anonymous function, but it works in the exact same way as if we"
336.0,340.64,had created this function over here.
340.64,345.8,"And just to sort of bring that, and I can run it again, and you can see it apply with"
345.8,352.8,"the function name is one, and obviously apply with this anonymous function also returns one."
